Name,Col,Row,MaxFrame
Gacha_A_Loop.png,4,7,28
Gacha_A_Start.png,8,5,39
Gacha_B_Loop.png,4,7,28
Gacha_B_Start.png,8,5,39
Gacha_Bangboo_01.png,8,8,60
Gacha_Bangboo_02.png,8,4,32
Gacha_Bangboo_03.png,8,7,56
Gacha_Bangboo_04.png,8,5,34
Gacha_Bangboo_05.png,8,4,30
Gacha_Bangboo_06.png,8,4,30
Gacha_Decoration_01.png,8,9,72
Gacha_Decoration_02.png,8,9,72
Gacha_Decoration_03.png,8,9,72
Gacha_Decoration_04.png,8,9,72
Gacha_Decoration_05.png,8,9,72
Gacha_Decoration_06.png,8,9,72
Gacha_Decoration_07.png,8,9,72
Gacha_Decoration_08.png,8,9,72
Gacha_Decoration_09.png,8,9,72
Gacha_Decoration_10.png,8,9,72
Gacha_Decoration_11.png,8,9,72
Gacha_Decoration_12.png,8,9,72
Gacha_Decoration_13.png,8,9,72
Gacha_Decoration_14.png,8,9,72
Gacha_Decoration_15.png,8,9,72
Gacha_Decoration_16.png,8,9,72
Gacha_Decoration_17.png,8,9,72
Gacha_Decoration_18.png,8,9,72
Gacha_Decoration_19.png,6,6,36
Gacha_Decoration_20.png,6,6,36
Gacha_Decoration_21.png,6,6,36
Gacha_Decoration_22.png,7,8,56
Gacha_Decoration_23.png,7,8,56
Gacha_Decoration_24.png,7,8,56
Gacha_Decoration_25.png,7,8,56
Gacha_Decoration_26.png,8,10,77
Gacha_Decoration_27.png,8,9,72
Gacha_Decoration_28.png,8,9,72
Gacha_Decoration_29.png,8,9,72
Gacha_Decoration_30.png,8,9,72
Gacha_Decoration_31.png,7,10,70
Gacha_Decoration_32.png,8,9,72
Gacha_Decoration_33.png,8,9,72
Gacha_Decoration_34.png,8,9,72
Gacha_Decoration_35.png,8,9,72
Gacha_Decoration_36.png,8,9,72
Gacha_Decoration_37.png,8,9,72
Gacha_Decoration_38.png,8,9,72
Gacha_Decoration_39.png,8,9,72
Gacha_Decoration_40.png,8,9,72
Gacha_Decoration_41.png,8,9,72
Gacha_Decoration_42.png,8,9,72
Gacha_Decoration_43.png,8,9,72
Gacha_Decoration_44.png,8,9,72
Gacha_Decoration_45.png,8,9,72
Gacha_Decoration_46.png,8,9,72
Gacha_Decoration_47.png,8,9,72
Gacha_Decoration_48.png,8,9,72
Gacha_Decoration_49.png,8,9,72
Gacha_Decoration_50.png,8,9,72
Gacha_Decoration_51.png,8,9,72
Gacha_Decoration_52.png,8,9,72
Gacha_Decoration_53.png,8,9,72
Gacha_Decoration_54.png,8,9,72
Gacha_Decoration_55.png,8,5,34
Gacha_Decoration_56.png,8,5,34
Gacha_Decoration_57.png,8,7,55
Gacha_Decoration_58.png,8,7,55
Gacha_Decoration_59.png,8,4,26
Gacha_Decoration_60.png,8,9,72
Gacha_Intro_01.png,8,5,40
Gacha_Intro_02.png,8,5,40
Gacha_Intro_03.png,8,5,40
Gacha_S_Loop.png,4,7,28
Gacha_S_Start.png,8,5,39
Gacha_VCD_Vid_01.png,8,7,56
Gacha_VCD_Vid_02.png,8,7,56
Gacha_VCD_Vid_03.png,8,7,56
Gacha_Weapon_01.png,8,10,80
Gacha_Weapon_02.png,8,5,36
Gacha_Weapon_03.png,9,7,63
Gacha_Weapon_05.png,8,8,59
Gacha_Weapon_06.png,8,8,59
